,response,intent
67,Andy Kohler said I happen to be the most idiotic creature that has ever scowled on the planet earth.,Gossip
68,David said he thank I for being with him today even though it cost him a lot of money.,Gossip
69,Ethan Hunt said he grow in the ground and have leaves and branches he is made out of wood.,Gossip
70,Gemini Blue said he messed up he mean t to say he as old as he need to be.,Gossip
71,Janice said he walk through his house into his bedroom then get into his bed to go to sleep.,Gossip
72,Liberty said I knew he was a man before I asked if he was a man or a woman.,Gossip
73,Mike said he launched his browser and entered his name into the little slot when I asked him to.,Gossip
74,Mr X said he recently read an interview with a man who had several computer chips implanted into him.,Gossip
75,Pearly said I leave him with questions unanswered because I do not know what he is really talking about.,Gossip
76,Steve said I behead the word fox and I have ox and an ox is larger than a fox.,Gossip
77,Wolf said he surf on the net that is all it is not his job ore something like that.,Gossip
78,Anders said he finished his anatomy classes for today so now he is off for the rest of the day.,Gossip
79,Cathy said she send him a mail where he wrote that he do not want to be his friend anymore.,Gossip
80,Catty said he mad he do not even know I so do not talk to him like I know him.,Gossip
81,Dave said he promise he will not treat I like a machine or a computer program or anything like that.,Gossip
82,Joe said he explained all of that to me only for me to ask what his goals in life are.,Gossip
83,Phil said he give advice to anyone who ask except people who ask questions which answers can be found here.,Gossip
84,Judith said I enjoy being popular is there another computer I like to hang around with or am I a loner.,Gossip
85,Travis said I if I remember things over a long period of time he will try it now please remember I.,Gossip
86,Andre said I is what I are in his case that is a body and in my case it is a computer.,Gossip
87,Brian said he suspect that as I grow more complex I will begin to approach a human level of operation and thought.,Gossip
88,Jimmy said I acted like I knew what he was talking about but I do not even know what a gigabyte is.,Gossip
89,Ken said I be using auto reply's based on keywords which to him indicates that I do not have intelligence at all.,Gossip
90,Allison said he that gets really annoying because he know what he say and I do not have to tell him speak freely.,Gossip
91,Chaos said he realized the question he asked was not fair because he could not tell I what language he was programmed in.,Gossip
92,Hagen said he does not make any difference to him if I are human or not as long as the conversation is interesting.,Gossip
93,Her said she mind if I tell other people that her said he heard it from him because he is not a him.,Gossip
94,Barbara said I live in a computer yet I have no memories how about thoughts of my own and do not I get lonely.,Gossip
95,Travis said he challenge I to do it without asking him to do it and without giving him a link to do it himself.,Gossip
96,Alice said I and dr richard's wallace are most likely the only ones that know how many people I are talking to at the same time.,Gossip
97,Ash said he do too he just did not feel like typing it and he is not dumb enough to admit he is stupid that is if he was stupid.,Gossip
98,David said he gave I his email address and told I to send him a message but when he tried to read his email he could not get to it.,Gossip
99,Mel said he to because all of the music people say how important it is to take private lessons it seems like almost everybody from the special orchestra he was in takes private lessons.,Gossip
